# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	795767	795997	+							BA_RS04155	231		old_locus_tag=BA0778,BA_0778
CDS	with_protein	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	795767	795997	+	WP_002035794.1	WP_002035794.1		sulfurtransferase TusA family protein			BA_RS04155	231	76	
gene	pseudogene	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	796028	796388	+							BA_RS04160	361		pseudo;old_locus_tag=BA0779,BA_0779
CDS	without_protein	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	796028	796388	+				rhodanese-like domain-containing protein			BA_RS04160	361		pseudo
gene	protein_coding	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	796403	796699	+							BA_RS04165	297		
CDS	with_protein	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	796403	796699	+	WP_000661705.1	WP_000661705.1		rhodanese-like domain-containing protein			BA_RS04165	297	98	
gene	protein_coding	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	796760	797239	+							BA_RS04170	480		
CDS	with_protein	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	796760	797239	+	WP_000437722.1	WP_000437722.1		DsrE/DsrF/DrsH-like family protein			BA_RS04170	480	159	
gene	protein_coding	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	797273	798037	+							BA_RS04175	765		old_locus_tag=BA0781,BA_0781
CDS	with_protein	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	797273	798037	+	WP_000060724.1	WP_000060724.1		sulfite exporter TauE/SafE family protein			BA_RS04175	765	254	
gene	protein_coding	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	798071	798511	-							BA_RS04180	441		old_locus_tag=BA0782,BA_0782
CDS	with_protein	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	798071	798511	-	WP_000642359.1	WP_000642359.1		hypothetical protein			BA_RS04180	441	146	
gene	protein_coding	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	798657	799853	-							BA_RS04185	1197		old_locus_tag=BA0783,BA_0783
CDS	with_protein	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	798657	799853	-	WP_000437416.1	WP_000437416.1		LCP family protein			BA_RS04185	1197	398	
gene	protein_coding	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	800167	801165	+							BA_RS04190	999		old_locus_tag=BA0784,BA_0784
CDS	with_protein	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	800167	801165	+	WP_001016981.1	WP_001016981.1		YhdH/YhfP family quinone oxidoreductase			BA_RS04190	999	332	
gene	protein_coding	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	801200	802855	-							BA_RS04195	1656		old_locus_tag=BA0785,BA_0785
CDS	with_protein	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	801200	802855	-	WP_000456261.1	WP_000456261.1		Na/Pi cotransporter family protein			BA_RS04195	1656	551	
gene	protein_coding	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	803186	804385	-							BA_RS04200	1200		old_locus_tag=BA0787,BA_0787
CDS	with_protein	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	803186	804385	-	WP_000503264.1	WP_000503264.1		MFS transporter			BA_RS04200	1200	399	
gene	protein_coding	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	804704	805792	+							BA_RS04205	1089		old_locus_tag=BA0789,BA_0789
CDS	with_protein	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	804704	805792	+	WP_001253326.1	WP_001253326.1		DUF871 domain-containing protein			BA_RS04205	1089	362	
gene	protein_coding	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	805865	807805	+							BA_RS04210	1941		old_locus_tag=BA0790,BA_0790
CDS	with_protein	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	805865	807805	+	WP_000169822.1	WP_000169822.1		BglG family transcription antiterminator			BA_RS04210	1941	646	
gene	protein_coding	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	807917	808237	+							BA_RS04215	321		old_locus_tag=BA0791,BA_0791
CDS	with_protein	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	807917	808237	+	WP_000774634.1	WP_000774634.1		PTS lactose/cellobiose transporter subunit IIA			BA_RS04215	321	106	
gene	protein_coding	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	808239	808544	+							BA_RS04220	306		old_locus_tag=BA0792,BA_0792
CDS	with_protein	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	808239	808544	+	WP_000275638.1	WP_000275638.1		PTS sugar transporter subunit IIB			BA_RS04220	306	101	
gene	protein_coding	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	808627	809937	+							BA_RS04225	1311		old_locus_tag=BA0793,BA_0793
CDS	with_protein	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	808627	809937	+	WP_001013051.1	WP_001013051.1		PTS sugar transporter subunit IIC			BA_RS04225	1311	436	
gene	protein_coding	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	809913	810191	+							BA_RS04230	279		old_locus_tag=BA0794,BA_0794
CDS	with_protein	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	809913	810191	+	WP_000900035.1	WP_000900035.1		hypothetical protein			BA_RS04230	279	92	
gene	protein_coding	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	810181	811266	+							BA_RS04235	1086		old_locus_tag=BA0795,BA_0795
CDS	with_protein	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	810181	811266	+	WP_000440083.1	WP_000440083.1		MupG family TIM beta-alpha barrel fold protein			BA_RS04235	1086	361	
gene	protein_coding	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	811536	812768	-					entC		BA_RS04240	1233		old_locus_tag=BA0796,BA_0796
CDS	with_protein	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	811536	812768	-	WP_014654410.1	WP_014654410.1		cell wall-binding protein EntC	entC		BA_RS04240	1233	410	
gene	protein_coding	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	813267	814442	-							BA_RS04245	1176		old_locus_tag=BA0797,BA_0797
CDS	with_protein	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	813267	814442	-	WP_001097707.1	WP_001097707.1		ABC transporter permease			BA_RS04245	1176	391	
gene	protein_coding	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	814445	815119	-							BA_RS04250	675		old_locus_tag=BA0798,BA_0798
CDS	with_protein	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	814445	815119	-	WP_000609094.1	WP_000609094.1		ABC transporter ATP-binding protein			BA_RS04250	675	224	
gene	protein_coding	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	815116	816222	-							BA_RS04255	1107		old_locus_tag=BA0799,BA_0799
CDS	with_protein	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	815116	816222	-	WP_000728797.1	WP_000728797.1		efflux RND transporter periplasmic adaptor subunit			BA_RS04255	1107	368	
gene	protein_coding	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	816433	817167	+							BA_RS04260	735		old_locus_tag=BA0800,BA_0800
CDS	with_protein	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	816433	817167	+	WP_000388693.1	WP_000388693.1		TIGR02206 family membrane protein			BA_RS04260	735	244	
gene	pseudogene	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	817256	818121	+							BA_RS04265	866		pseudo
CDS	without_protein	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	817256	818121	+				ABC transporter permease subunit			BA_RS04265	866		pseudo
gene	protein_coding	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	818123	819127	+							BA_RS04270	1005		
CDS	with_protein	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	818123	819127	+	WP_000269971.1	WP_000269971.1		ABC transporter permease subunit			BA_RS04270	1005	334	
gene	protein_coding	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	819172	820488	-					brnQ		BA_RS04275	1317		old_locus_tag=BA0802,BA_0802
CDS	with_protein	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	819172	820488	-	WP_001260891.1	WP_001260891.1		branched-chain amino acid transport system II carrier protein	brnQ		BA_RS04275	1317	438	
gene	protein_coding	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	820707	821276	-					cotJC		BA_RS04280	570		old_locus_tag=BA0803,BA_0803
CDS	with_protein	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	820707	821276	-	WP_000265278.1	WP_000265278.1		spore coat protein CotJC	cotJC		BA_RS04280	570	189	
gene	protein_coding	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	821289	821564	-					cotJB		BA_RS04285	276		old_locus_tag=BA0804,BA_0804
CDS	with_protein	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	821289	821564	-	WP_002157501.1	WP_002157501.1		spore coat protein CotJB	cotJB		BA_RS04285	276	91	
gene	protein_coding	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	821561	821776	-							BA_RS04290	216		old_locus_tag=BA0805,BA_0805
CDS	with_protein	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	821561	821776	-	WP_000362188.1	WP_000362188.1		spore coat associated protein CotJA			BA_RS04290	216	71	
gene	protein_coding	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	821871	822230	+							BA_RS04295	360		old_locus_tag=BA0806,BA_0806
CDS	with_protein	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	821871	822230	+	WP_003168681.1	WP_003168681.1		VOC family protein			BA_RS04295	360	119	
gene	protein_coding	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	822245	823024	+							BA_RS04300	780		old_locus_tag=BA0807,BA_0807
CDS	with_protein	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	822245	823024	+	WP_000440961.1	WP_000440961.1		DUF2935 domain-containing protein			BA_RS04300	780	259	
gene	protein_coding	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	823042	823854	-							BA_RS04305	813		old_locus_tag=BA0808,BA_0808
CDS	with_protein	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	823042	823854	-	WP_000557719.1	WP_000557719.1		Ku protein			BA_RS04305	813	270	
gene	protein_coding	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	824207	824488	+							BA_RS04310	282		old_locus_tag=BA0809,BA_0809
CDS	with_protein	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	824207	824488	+	WP_000733844.1	WP_000733844.1		DUF1232 domain-containing protein			BA_RS04310	282	93	
gene	protein_coding	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	824499	825104	+							BA_RS04315	606		old_locus_tag=BA0810,BA_0810
CDS	with_protein	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	824499	825104	+	WP_000435020.1	WP_000435020.1		DedA family protein			BA_RS04315	606	201	
gene	protein_coding	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	825209	825577	+							BA_RS04320	369		old_locus_tag=BA0811,BA_0811
CDS	with_protein	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	825209	825577	+	WP_001277549.1	WP_001277549.1		DUF3992 domain-containing protein			BA_RS04320	369	122	
gene	protein_coding	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	825598	825942	+							BA_RS04325	345		old_locus_tag=BA0812,BA_0812
CDS	with_protein	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	825598	825942	+	WP_000525807.1	WP_000525807.1		DUF3992 domain-containing protein			BA_RS04325	345	114	
gene	protein_coding	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	826000	826407	-							BA_RS04330	408		
CDS	with_protein	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	826000	826407	-	WP_025985135.1	WP_025985135.1		DUF3992 domain-containing protein			BA_RS04330	408	135	
gene	protein_coding	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	826780	829239	+							BA_RS04335	2460		old_locus_tag=BA0815,BA_0815
CDS	with_protein	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	826780	829239	+	WP_000376187.1	WP_000376187.1		FN3 and LamG domain-containing metallophosphoesterase			BA_RS04335	2460	819	
gene	protein_coding	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	829319	829522	+							BA_RS04340	204		old_locus_tag=BA0816,BA_0816
CDS	with_protein	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	829319	829522	+	WP_000391504.1	WP_000391504.1		hypothetical protein			BA_RS04340	204	67	
gene	protein_coding	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	829535	829705	+							BA_RS27115	171		old_locus_tag=BA0817,BA_0817
CDS	with_protein	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	829535	829705	+	WP_001174845.1	WP_001174845.1		hypothetical protein			BA_RS27115	171	56	
gene	protein_coding	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	829734	831137	-							BA_RS04345	1404		old_locus_tag=BA0818,BA_0818
CDS	with_protein	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	829734	831137	-	WP_000838738.1	WP_000838738.1		amino acid permease			BA_RS04345	1404	467	
gene	protein_coding	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	831414	832541	+							BA_RS04350	1128		old_locus_tag=BA0819,BA_0819
CDS	with_protein	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	831414	832541	+	WP_000899806.1	WP_000899806.1		cation:proton antiporter			BA_RS04350	1128	375	
gene	protein_coding	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	832667	832981	+							BA_RS04355	315		old_locus_tag=BA0820,BA_0820
CDS	with_protein	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	832667	832981	+	WP_001223243.1	WP_001223243.1		hypothetical protein			BA_RS04355	315	104	
gene	protein_coding	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	833011	833874	+							BA_RS04360	864		old_locus_tag=BA0821,BA_0821
CDS	with_protein	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	833011	833874	+	WP_000648163.1	WP_000648163.1		MurR/RpiR family transcriptional regulator			BA_RS04360	864	287	
gene	protein_coding	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	834030	834914	+					murQ		BA_RS04365	885		old_locus_tag=BA0822,BA_0822
CDS	with_protein	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	834030	834914	+	WP_000892332.1	WP_000892332.1		N-acetylmuramic acid 6-phosphate etherase	murQ		BA_RS04365	885	294	
gene	protein_coding	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	834939	836303	+							BA_RS04370	1365		old_locus_tag=BA0823,BA_0823
CDS	with_protein	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	834939	836303	+	WP_000711313.1	WP_000711313.1		PTS transporter subunit EIIC			BA_RS04370	1365	454	
gene	protein_coding	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	836352	837416	+							BA_RS04375	1065		old_locus_tag=BA0824,BA_0824
CDS	with_protein	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	836352	837416	+	WP_000901937.1	WP_000901937.1		MupG family TIM beta-alpha barrel fold protein			BA_RS04375	1065	354	
gene	protein_coding	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	837577	837981	+							BA_RS04380	405		old_locus_tag=BA0825,BA_0825
CDS	with_protein	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	837577	837981	+	WP_001077751.1	WP_001077751.1		DoxX family protein			BA_RS04380	405	134	
gene	protein_coding	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	838137	838538	+							BA_RS04385	402		old_locus_tag=BA0827,BA_0827
CDS	with_protein	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	838137	838538	+	WP_001126721.1	WP_001126721.1		nuclear transport factor 2 family protein			BA_RS04385	402	133	
gene	protein_coding	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	838538	839023	+							BA_RS04390	486		old_locus_tag=BA0828,BA_0828
CDS	with_protein	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	838538	839023	+	WP_000898000.1	WP_000898000.1		PRK06770 family protein			BA_RS04390	486	161	
gene	protein_coding	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	839059	839970	-							BA_RS04395	912		old_locus_tag=BA0829,BA_0829
CDS	with_protein	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	839059	839970	-	WP_001146246.1	WP_001146246.1		DMT family transporter			BA_RS04395	912	303	
gene	protein_coding	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	840174	840668	+							BA_RS04400	495		old_locus_tag=BA0830,BA_0830
CDS	with_protein	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	840174	840668	+	WP_000446106.1	WP_000446106.1		Lrp/AsnC family transcriptional regulator			BA_RS04400	495	164	
gene	protein_coding	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	840797	841252	+							BA_RS04405	456		old_locus_tag=BA0831,BA_0831
CDS	with_protein	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	840797	841252	+	WP_000686681.1	WP_000686681.1		N-acetyltransferase			BA_RS04405	456	151	
gene	protein_coding	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	841611	841955	+							BA_RS04410	345		old_locus_tag=BA0832,BA_0832
CDS	with_protein	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	841611	841955	+	WP_000790630.1	WP_000790630.1		multidrug efflux SMR transporter			BA_RS04410	345	114	
gene	protein_coding	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	841958	842272	+							BA_RS04415	315		old_locus_tag=BA0833,BA_0833
CDS	with_protein	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	841958	842272	+	WP_000539674.1	WP_000539674.1		multidrug efflux SMR transporter			BA_RS04415	315	104	
gene	protein_coding	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	842402	842980	+							BA_RS04420	579		old_locus_tag=BA0834,BA_0834
CDS	with_protein	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	842402	842980	+	WP_000981271.1	WP_000981271.1		TetR family transcriptional regulator			BA_RS04420	579	192	
gene	protein_coding	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	843191	844393	+							BA_RS04425	1203		old_locus_tag=BA0835,BA_0835
CDS	with_protein	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	843191	844393	+	WP_000742950.1	WP_000742950.1		tetracycline resistance MFS efflux pump			BA_RS04425	1203	400	
gene	protein_coding	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	844427	844765	-							BA_RS04430	339		old_locus_tag=BA0836,BA_0836
CDS	with_protein	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	844427	844765	-	WP_001059468.1	WP_001059468.1		helix-turn-helix transcriptional regulator			BA_RS04430	339	112	
gene	protein_coding	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	844934	845473	+							BA_RS04435	540		old_locus_tag=BA0837,BA_0837
CDS	with_protein	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	844934	845473	+	WP_000538344.1	WP_000538344.1		ester cyclase			BA_RS04435	540	179	
gene	protein_coding	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	845493	846041	+							BA_RS04440	549		old_locus_tag=BA0838,BA_0838
CDS	with_protein	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	845493	846041	+	WP_000789166.1	WP_000789166.1		NAD(P)H-dependent oxidoreductase			BA_RS04440	549	182	
gene	protein_coding	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	846114	847853	-							BA_RS04445	1740		old_locus_tag=BA0839,BA_0839
CDS	with_protein	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	846114	847853	-	WP_000699841.1	WP_000699841.1		SgrR family transcriptional regulator			BA_RS04445	1740	579	
gene	protein_coding	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	847959	849215	+							BA_RS04450	1257		old_locus_tag=BA0840,BA_0840
CDS	with_protein	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	847959	849215	+	WP_000508221.1	WP_000508221.1		MFS transporter			BA_RS04450	1257	418	
gene	protein_coding	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	849260	849463	-							BA_RS04455	204		old_locus_tag=BA0841,BA_0841
CDS	with_protein	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	849260	849463	-	WP_001066490.1	WP_001066490.1		hypothetical protein			BA_RS04455	204	67	
gene	protein_coding	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	849701	850216	-							BA_RS04460	516		old_locus_tag=BA0842,BA_0842
CDS	with_protein	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	849701	850216	-	WP_000037524.1	WP_000037524.1		type 1 glutamine amidotransferase			BA_RS04460	516	171	
gene	protein_coding	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	850240	852237	-							BA_RS04465	1998		old_locus_tag=BA0843,BA_0843
CDS	with_protein	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	850240	852237	-	WP_001035765.1	WP_001035765.1		catalase			BA_RS04465	1998	665	
gene	protein_coding	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	852430	853629	-							BA_RS04470	1200		old_locus_tag=BA0844,BA_0844
CDS	with_protein	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	852430	853629	-	WP_000021415.1	WP_000021415.1		ABC transporter permease			BA_RS04470	1200	399	
gene	protein_coding	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	853690	855060	-							BA_RS04475	1371		old_locus_tag=BA0845,BA_0845
CDS	with_protein	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	853690	855060	-	WP_000232525.1	WP_000232525.1		amino acid permease			BA_RS04475	1371	456	
gene	protein_coding	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	855643	856473	+					racE		BA_RS04480	831		old_locus_tag=BA0847,BA_0847
CDS	with_protein	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	855643	856473	+	WP_000109644.1	WP_000109644.1		glutamate racemase	racE		BA_RS04480	831	276	
gene	protein_coding	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	856586	857677	+							BA_RS04485	1092		old_locus_tag=BA0848,BA_0848
CDS	with_protein	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	856586	857677	+	WP_000423703.1	WP_000423703.1		DUF3626 domain-containing protein			BA_RS04485	1092	363	
gene	protein_coding	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	857752	859191	-					gapN		BA_RS04490	1440		old_locus_tag=BA0849,BA_0849
CDS	with_protein	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	857752	859191	-	WP_000213641.1	WP_000213641.1		NADP-dependent glyceraldehyde-3-phosphate dehydrogenase	gapN		BA_RS04490	1440	479	
gene	protein_coding	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	859782	861542	+							BA_RS04495	1761		old_locus_tag=BA0852,BA_0852
CDS	with_protein	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	859782	861542	+	WP_000493196.1	WP_000493196.1		ABC transporter transmembrane domain-containing protein			BA_RS04495	1761	586	
gene	pseudogene	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	861539	863541	+							BA_RS04500	2003		pseudo;old_locus_tag=BA0853,BA_0853
CDS	without_protein	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	861539	863541	+				ABC transporter ATP-binding protein/permease			BA_RS04500	2003		pseudo
gene	protein_coding	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	863814	864611	+							BA_RS04505	798		old_locus_tag=BA0855,BA_0855
CDS	with_protein	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	863814	864611	+	WP_000732844.1	WP_000732844.1		amino acid ABC transporter substrate-binding protein			BA_RS04505	798	265	
gene	protein_coding	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	864598	865296	+							BA_RS04510	699		old_locus_tag=BA0856,BA_0856
CDS	with_protein	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	864598	865296	+	WP_000281493.1	WP_000281493.1		amino acid ABC transporter permease			BA_RS04510	699	232	
gene	protein_coding	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	865325	866059	+							BA_RS04515	735		old_locus_tag=BA0857,BA_0857
CDS	with_protein	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	865325	866059	+	WP_000623603.1	WP_000623603.1		amino acid ABC transporter ATP-binding protein			BA_RS04515	735	244	
gene	protein_coding	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	866111	866314	-					sasP		BA_RS04520	204		old_locus_tag=BA0858,BA_0858
CDS	with_protein	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	866111	866314	-	WP_000013338.1	WP_000013338.1		small acid-soluble spore protein, SasP family	sasP		BA_RS04520	204	67	
gene	protein_coding	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	866671	866916	+							BA_RS04525	246		old_locus_tag=BA0859,BA_0859
CDS	with_protein	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	866671	866916	+	WP_000510455.1	WP_000510455.1		hypothetical protein			BA_RS04525	246	81	
gene	protein_coding	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	866933	868393	-							BA_RS04530	1461		old_locus_tag=BA0860,BA_0860
CDS	with_protein	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	866933	868393	-	WP_000658120.1	WP_000658120.1		YheC/YheD family protein			BA_RS04530	1461	486	
gene	protein_coding	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	868414	869466	-							BA_RS04535	1053		old_locus_tag=BA0861,BA_0861
CDS	with_protein	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	868414	869466	-	WP_000242724.1	WP_000242724.1		histidine kinase			BA_RS04535	1053	350	
gene	protein_coding	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	869601	870737	+							BA_RS04540	1137		old_locus_tag=BA0862,BA_0862
CDS	with_protein	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	869601	870737	+	WP_003158405.1	WP_003158405.1		DUF445 family protein			BA_RS04540	1137	378	
gene	protein_coding	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	870879	871235	+							BA_RS04545	357		old_locus_tag=BA0863,BA_0863
CDS	with_protein	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	870879	871235	+	WP_000164607.1	WP_000164607.1		YlbF/YmcA family competence regulator			BA_RS04545	357	118	
gene	protein_coding	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	871274	871870	-							BA_RS04550	597		old_locus_tag=BA0864,BA_0864
CDS	with_protein	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	871274	871870	-	WP_000760969.1	WP_000760969.1		NDxxF motif lipoprotein			BA_RS04550	597	198	
gene	protein_coding	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	871892	872452	-							BA_RS04555	561		old_locus_tag=BA0865,BA_0865
CDS	with_protein	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	871892	872452	-	WP_001042991.1	WP_001042991.1		DUF1700 domain-containing protein			BA_RS04555	561	186	
